,q,s
2018-09-01 00:00:00+01:00,14.2334522647933,0.0
2018-09-02 00:00:00+01:00,11.2048767402054,0.0
2018-09-03 00:00:00+01:00,9.46563456249727,0.0
2018-09-04 00:00:00+01:00,8.62865993457914,0.0
2018-09-05 00:00:00+01:00,8.32469572163364,0.0
2018-09-06 00:00:00+01:00,11.2946850902705,0.0
2018-09-07 00:00:00+01:00,15.9983872332368,0.0
2018-09-08 00:00:00+01:00,17.7903311822825,0.0
2018-09-09 00:00:00+01:00,24.3862253359995,0.0
2018-09-10 00:00:00+01:00,36.5351710924935,0.0
2018-09-11 00:00:00+01:00,58.4279481382069,0.0
2018-09-12 00:00:00+01:00,87.2828415682849,5.65075386274487
2018-09-13 00:00:00+01:00,96.2104474744517,8.29465151162418
2018-09-14 00:00:00+01:00,93.4860642571065,11.4280614029073
2018-09-15 00:00:00+01:00,85.6099534574777,18.3686107519639
2018-09-16 00:00:00+01:00,80.3455762721571,17.5851424647049
2018-09-17 00:00:00+01:00,75.8819250385513,14.3816949017702
2018-09-18 00:00:00+01:00,65.8939158929528,9.70521036709248
2018-09-19 00:00:00+01:00,63.3597291945626,6.9511378570917
2018-09-20 00:00:00+01:00,62.3367715822827,7.13149679063932
2018-09-21 00:00:00+01:00,75.4620337474192,6.40868438884458
2018-09-22 00:00:00+01:00,79.6221327685948,29.3847992754323
2018-09-23 00:00:00+01:00,62.0412855280486,36.5348366690029
2018-09-24 00:00:00+01:00,46.1804715559216,38.3503615200394
2018-09-25 00:00:00+01:00,40.9941875988273,95.0551116215404
2018-09-26 00:00:00+01:00,47.1570594672863,88.2262212042833
2018-09-27 00:00:00+01:00,60.5933910704341,76.7296333174098
2018-09-28 00:00:00+01:00,55.4178421086535,86.6797317619623
2018-09-29 00:00:00+01:00,45.9941226135609,108.487555169115
2018-09-30 00:00:00+01:00,41.5068293350916,116.836244159019
2018-10-01 00:00:00+01:00,34.6693625688007,122.274490919804
2018-10-02 00:00:00+01:00,28.1504838161013,136.258395906962
2018-10-03 00:00:00+01:00,22.9321442313639,141.045338733662
2018-10-04 00:00:00+01:00,20.7590043105992,170.508344694733
2018-10-05 00:00:00+01:00,20.0335237741189,173.647132272692
2018-10-06 00:00:00+01:00,17.5786044351218,179.114772931524
2018-10-07 00:00:00+01:00,14.958555413284,195.38578874134
2018-10-08 00:00:00+01:00,18.0883327013838,206.356890529077
2018-10-09 00:00:00+01:00,45.0918172704264,191.285964631626
2018-10-10 00:00:00+01:00,70.2134587153448,165.175755937533
2018-10-11 00:00:00+01:00,68.6051565796496,142.371514312915
2018-10-12 00:00:00+01:00,85.7658024181558,117.950378032222
2018-10-13 00:00:00+01:00,134.53439062606,87.7851916766532
2018-10-14 00:00:00+01:00,172.295283748692,58.7723748090098
2018-10-15 00:00:00+01:00,154.205105689103,54.2248385513148
2018-10-16 00:00:00+01:00,116.439563865577,49.8540779287068
2018-10-17 00:00:00+01:00,95.8119504899137,40.80750190363
2018-10-18 00:00:00+01:00,76.9392399062627,11.7745712850462
2018-10-19 00:00:00+01:00,56.484433819858,16.2618150817992
2018-10-20 00:00:00+01:00,44.5988190366237,20.931542905365
2018-10-21 00:00:00+01:00,60.6367627202203,9.4147310667971
2018-10-22 00:00:00+01:00,70.7342018169142,85.4329523757608
2018-10-23 00:00:00+01:00,56.1702854618384,90.9137859313954
2018-10-24 00:00:00+01:00,43.6784003276041,112.981472424117
2018-10-25 00:00:00+01:00,35.296655795894,115.206350369102
2018-10-26 00:00:00+01:00,27.6266051853649,115.206350369102
2018-10-27 00:00:00+01:00,21.5168457699683,115.233983706833
2018-10-28 00:00:00+01:00,16.8119258513983,116.116640434536
2018-10-29 00:00:00+01:00,13.4165134649777,120.701447777739
2018-10-30 00:00:00+01:00,11.2276821672376,129.653812498354
2018-10-31 00:00:00+01:00,9.73258681261205,132.908054235137
2018-11-01 00:00:00+01:00,9.19587057849397,146.511432626907
2018-11-02 00:00:00+01:00,8.92022317511197,154.618446434246
2018-11-03 00:00:00+01:00,8.52041464616412,160.965429406364
2018-11-04 00:00:00+01:00,7.95766364491186,159.917242847738
2018-11-05 00:00:00+01:00,7.48260129214782,159.466510992151
2018-11-06 00:00:00+01:00,7.35047302977492,157.634502649455
2018-11-07 00:00:00+01:00,8.27077343865149,148.811923192212
2018-11-08 00:00:00+01:00,9.97749537158904,143.185187175346
2018-11-09 00:00:00+01:00,10.5345186998121,141.83282118896
2018-11-10 00:00:00+01:00,14.37118132781,141.579395135056
2018-11-11 00:00:00+01:00,24.0810201815034,132.222938542478
2018-11-12 00:00:00+01:00,29.0110404482364,128.717208083548
2018-11-13 00:00:00+01:00,26.9920897620965,133.615533113629
2018-11-14 00:00:00+01:00,23.8497685299993,135.820025216676
2018-11-15 00:00:00+01:00,23.7907228980762,123.411476204508
2018-11-16 00:00:00+01:00,24.2735620125366,115.998537898211
2018-11-17 00:00:00+01:00,22.2984166910418,111.317860922644
2018-11-18 00:00:00+01:00,19.1005755360272,109.680029845596
2018-11-19 00:00:00+01:00,15.3080316001799,109.703332705648
2018-11-20 00:00:00+01:00,11.9231618472718,109.707966267149
2018-11-21 00:00:00+01:00,9.68967930814147,109.708468476727
2018-11-22 00:00:00+01:00,8.73198217327861,109.72421704676
2018-11-23 00:00:00+01:00,7.90131904122401,109.72421704676
2018-11-24 00:00:00+01:00,7.14934821101068,109.72421704676
2018-11-25 00:00:00+01:00,6.46893873566491,109.72421704676
2018-11-26 00:00:00+01:00,5.85335692458523,109.72720772281
