,q,s
2018-09-01 00:00:00+01:00,3.37060964258012,0.995704365941629
2018-09-02 00:00:00+01:00,3.1787721100173,0.602477433189185
2018-09-03 00:00:00+01:00,2.96063190985473,0.204291424494841
2018-09-04 00:00:00+01:00,2.79057484480095,0.0769163749880237
2018-09-05 00:00:00+01:00,2.60997377783281,0.0351261366230261
2018-09-06 00:00:00+01:00,2.44061320985068,0.0
2018-09-07 00:00:00+01:00,2.30401312735501,0.0
2018-09-08 00:00:00+01:00,2.19326470049902,0.0
2018-09-09 00:00:00+01:00,2.08907970156537,0.0
2018-09-10 00:00:00+01:00,1.99060850367226,0.0
2018-09-11 00:00:00+01:00,1.89939682385983,0.0
2018-09-12 00:00:00+01:00,1.80588897575332,0.0
2018-09-13 00:00:00+01:00,1.88946383030197,0.0
2018-09-14 00:00:00+01:00,2.02422074734222,0.0
2018-09-15 00:00:00+01:00,2.3605386540631,1.75119633103793
2018-09-16 00:00:00+01:00,2.64019276172652,3.13703931890391
2018-09-17 00:00:00+01:00,2.56989283788316,4.23780532720702
2018-09-18 00:00:00+01:00,2.45691330388964,4.0364401637613
2018-09-19 00:00:00+01:00,2.54172783438384,2.74093680064521
2018-09-20 00:00:00+01:00,3.03443571300676,1.42289877283205
2018-09-21 00:00:00+01:00,3.42848707170049,1.95431430915845
2018-09-22 00:00:00+01:00,3.6879338515909,1.51331019440139
2018-09-23 00:00:00+01:00,3.95662778868523,13.9866427404875
2018-09-24 00:00:00+01:00,3.77479875748149,20.2270864652002
2018-09-25 00:00:00+01:00,3.418406064414,32.546527453979
2018-09-26 00:00:00+01:00,3.13011717443482,43.5679529150979
2018-09-27 00:00:00+01:00,2.85114128462958,34.2597037201181
2018-09-28 00:00:00+01:00,2.63221983814933,34.8435963427951
2018-09-29 00:00:00+01:00,2.42796567961573,35.6814074930108
2018-09-30 00:00:00+01:00,2.24175983811361,36.7884973483178
2018-10-01 00:00:00+01:00,2.08065660362794,40.333235636409
2018-10-02 00:00:00+01:00,1.92972290964406,41.0389641314719
2018-10-03 00:00:00+01:00,1.78014379999961,41.5661125649519
2018-10-04 00:00:00+01:00,1.64065994671663,41.811027557416
2018-10-05 00:00:00+01:00,1.5128464949584,42.4767958980198
2018-10-06 00:00:00+01:00,1.41754635460842,48.5367593554993
